"","CPO_Mock_72hpi_S1","CPO_Mock_72hpi_S2","CPO_Mock_72hpi_S3","CPO_SARS-CoV-2_24hpi_S4","CPO_SARS-CoV-2_24hpi_S5","CPO_SARS-CoV-2_24hpi_S6","CPO_SARS-CoV-2_72hpi_S7","CPO_SARS-CoV-2_72hpi_S8","CPO_SARS-CoV-2_72hpi_S9"
"SLC25A29",139,125,104,55,82,100,113,77,125
"WARS",4146,4503,3578,3307,5019,5880,7931,5059,6053
"WDR25",35,18,10,15,12,14,34,15,60
"DLK1",44,58,38,29,69,87,81,49,32
"PPP2R5C",1748,1902,1515,1275,1995,2078,2637,1495,1900
"DYNC1H1",1820,1737,1155,846,1678,1811,2739,1722,1748
"HSP90AA1",28107,24968,23828,19360,28174,35613,36332,19561,27121
"WDR20",1197,1114,949,858,1215,1293,1635,918,1222
"MOK",398,403,258,216,349,416,400,228,325
"ZNF839",87,109,86,48,59,103,114,81,83
"CINP",237,276,145,98,210,272,311,163,275
"TECPR2",82,56,46,42,93,68,69,48,66
"RCOR1",794,784,605,631,960,1325,972,610,633
"TRAF3",76,78,41,78,70,117,124,57,122
"CDC42BPB",130,108,86,37,102,131,150,69,115
"EIF5",12386,10086,9837,7187,8720,11767,14908,8312,11231
"MARK3",1948,1948,1679,950,1467,1674,1747,984,1353
"CKB",186,179,95,54,106,104,166,97,103
"BAG5",3778,3828,3641,3015,5211,5682,6152,3527,4196
"APOPT1",125,133,72,34,76,98,152,94,113
"KLC1",219,256,246,164,307,386,457,316,233
"ZFYVE21",82,81,35,27,64,46,93,39,88
"PPP1R13B",49,35,25,11,32,31,60,22,36
"C14orf2",7194,7189,6069,4175,6955,7128,7444,5023,5962
"ADSSL1",28,24,17,7,25,38,34,19,39
"SIVA1",31,41,15,8,17,19,42,28,24
"AKT1",45,62,23,22,58,40,73,29,53
"AHNAK2",153,323,192,295,531,656,1098,463,586
"C14orf79",89,73,35,31,37,73,90,43,66
"CDCA4",39,21,26,19,30,37,62,30,42
"BTBD6",57,40,52,11,39,34,75,39,49
"PACS2",34,55,45,28,50,43,100,60,53
"MTA1",48,63,37,33,53,32,52,35,35
"CRIP2",36,28,19,16,31,46,61,37,28
"HERC2P2",309,302,286,218,275,287,362,176,264
"WHAMMP3",54,72,40,32,37,48,68,30,33
"NIPA1",1918,1829,1753,1112,1846,2461,2363,1280,1774
"NIPA2",368,338,286,243,378,351,537,312,383
"CYFIP1",534,454,423,236,345,407,663,325,503
"TUBGCP5",703,724,524,364,704,793,747,443,660
"MKRN3",60,53,79,45,65,132,80,39,61
"MAGEL2",56,64,47,29,63,49,71,32,41
"NDN",205,238,157,109,156,173,266,187,206
"UBE3A",2908,2524,2405,2365,2981,3832,4356,1989,2649
"GABRB3",943,785,807,783,905,1342,1605,1034,944
"GABRA5",77,80,60,47,150,188,225,128,99
"OCA2",148,131,99,35,55,67,46,28,49
"HERC2",329,303,251,161,224,217,407,226,288
"HERC2P9",277,280,196,135,183,299,276,153,204
"WHAMMP2",76,66,67,54,58,119,102,45,71
"APBA2",34,20,23,10,24,17,45,29,12
"FAM189A1",31,26,11,12,21,25,32,16,20
"NDNL2",143,158,119,100,126,183,173,109,94
"TJP1",4531,3635,3969,3396,4258,5450,5836,3401,4695
"FAN1",498,449,333,224,400,410,490,290,462
"MTMR10",360,360,317,168,327,307,292,197,282
"TRPM1",49,40,58,12,25,52,12,15,17
"KLF13",46,76,69,58,95,111,93,54,78
"CHRNA7",27,28,23,17,15,4,12,8,17
"WHAMMP1",52,33,42,34,31,35,48,23,21
"GOLGA8N",37,20,23,8,28,35,33,12,12
"ARHGAP11A",180,191,145,66,86,146,89,83,105
"SCG5",433,370,407,247,401,410,294,179,235
"FMN1",84,94,60,18,36,35,63,19,82
"RYR3",123,141,76,76,109,164,175,87,136
"AVEN",38,42,47,48,69,44,93,37,73
"EMC7",451,474,357,275,474,527,679,456,556
"PGBD4",244,253,298,147,284,254,277,188,305
"KATNBL1",1478,1727,1354,1311,1667,1959,2376,1104,1802
"EMC4",535,509,394,255,442,487,696,442,549
"SLC12A6",183,238,171,121,243,275,222,147,168
"NOP10",2745,2963,2492,1877,3400,3677,4539,2732,3054
"LPCAT4",137,149,75,42,64,124,166,74,87
"GOLGA8A",695,688,463,431,695,648,713,329,578
"GOLGA8B",289,224,260,136,269,316,242,168,267
"AQR",3693,3690,3326,2219,3475,4350,5227,2951,4147
"ZNF770",969,1268,968,703,1016,1442,957,653,1116
"DPH6",835,810,808,475,823,984,1135,645,943
"C15orf41",833,714,677,382,536,640,922,410,653
"LOC102724228",29,14,33,17,11,31,34,20,17
"MEIS2",9,22,18,12,42,9,38,31,22
"SPRED1",1353,1129,1099,1133,1419,1907,1754,817,1349
"FAM98B",137,192,145,117,162,215,236,121,177
"RASGRP1",97,143,114,100,126,244,178,38,122
"THBS1",599,473,356,1596,1907,3205,6083,2380,2072
"FSIP1",185,105,102,64,76,194,173,93,87
"GPR176",20,19,15,33,32,50,133,64,46
"EIF2AK4",561,547,557,353,554,634,924,512,575
"SRP14",14267,14659,12604,10144,15479,16371,18390,12190,13527
"SRP14-AS1",378,360,292,177,266,275,382,176,261
"BMF",175,141,136,55,58,69,129,83,95
"BUB1B",5838,3936,4298,2291,2048,2178,1735,1396,2317
"LINC00984",265,186,180,174,236,240,243,131,134
"C15orf52",33,24,29,22,15,34,43,29,37
"KNSTRN",293,263,205,129,220,283,434,251,279
"IVD",441,318,235,121,239,245,473,285,327
"BAHD1",102,98,68,58,106,89,119,64,98
"CHST14",49,62,52,27,39,51,81,36,55
"C15orf57",813,759,727,643,900,1131,1165,682,843
"RPUSD2",33,27,24,20,35,29,45,46,45
"CASC5",219,211,134,103,60,205,163,93,138
"RAD51-AS1",28,25,41,24,45,32,32,25,23
"RAD51",27,25,27,17,31,37,15,22,24
"RMDN3",154,165,125,70,179,162,184,120,100
"GCHFR",29,32,15,3,17,19,25,11,25
"ZFYVE19",51,44,30,22,23,32,47,21,35
"SPINT1",74,102,61,41,114,118,136,77,105
"VPS18",52,36,22,10,48,35,85,37,36
"INO80",133,116,115,101,136,153,140,146,145
"CHP1",2871,2739,2362,1928,2967,3386,4169,2255,2636
"OIP5-AS1",355,340,304,172,338,341,333,230,324
"OIP5",27,39,25,16,34,41,34,15,11
"NUSAP1",536,334,366,242,482,654,688,509,377
"NDUFAF1",822,689,727,545,765,788,997,638,868
"RTF1",2425,1859,1727,1266,1965,2382,3233,1776,2109
"RPAP1",95,89,62,35,101,109,113,91,95
"TYRO3",79,131,74,54,73,83,116,57,98
"MGA",1858,1824,1758,1188,2125,2537,2386,1246,1969
"MAPKBP1",78,100,92,89,126,148,89,58,75
"EHD4",57,54,50,64,101,151,176,66,90
"VPS39",443,464,266,159,331,410,629,321,596
"TMEM87A",5347,5033,4986,3391,5747,5999,6397,4013,4799
"GANC",388,542,490,279,504,633,547,270,455
"CAPN3",66,49,36,9,36,47,45,13,41
"ZNF106",17186,14400,13294,10508,12061,17927,17676,11439,16848
"SNAP23",3149,3195,3038,2866,3854,4484,5210,2947,4225
"LRRC57",423,407,333,196,308,359,534,348,476
"HAUS2",355,277,235,248,364,447,569,358,453
"STARD9",259,315,267,168,301,305,400,177,276
"CDAN1",78,73,60,44,54,78,105,57,81
"LOC102724445",1564,1716,1386,1206,1606,2105,1926,965,1555
"TTBK2",788,878,851,685,1039,1231,1053,570,914
"UBR1",2495,2311,2295,2035,2719,3428,3945,1911,2746
"TMEM62",100,83,89,44,88,50,107,63,67
"CCNDBP1",514,541,357,223,326,509,588,320,450
"LCMT2",99,69,47,58,75,76,145,95,95
"ADAL",1475,1219,1285,765,1288,1335,1474,952,1485
"ZSCAN29",555,508,441,278,514,674,713,364,429
"TUBGCP4",1797,1856,1691,1198,1576,2388,2368,1561,1932
"TP53BP1",1365,1315,1157,677,1251,1616,1550,842,1282
"MAP1A",837,812,701,354,653,762,833,554,654
"PPIP5K1",438,432,358,176,388,416,382,312,333
"CKMT1B",58,41,31,14,34,35,36,20,25
"STRC",91,56,49,19,36,42,54,13,37
"CATSPER2",106,120,105,63,83,100,79,63,92
"CKMT1A",63,41,45,17,22,28,15,17,13
"CATSPER2P1",43,47,32,25,43,27,25,17,23
"PDIA3",389,433,358,294,468,471,555,270,340
"ELL3",1508,927,823,327,341,482,638,328,583
"SERF2",20570,19741,16095,11173,16751,16826,17435,10842,13106
"MFAP1",3590,3154,3271,2497,3910,4659,4779,2789,3407
"WDR76",128,73,87,59,39,115,187,91,140
"FRMD5",294,253,200,207,318,263,355,188,248
"PIN4P1",61,69,51,44,79,72,89,55,76
"CASC4",4204,3377,3243,2571,3166,3936,4972,2508,3830
"CTDSPL2",6058,6051,5482,4633,7611,8014,8413,4061,5917
"EIF3J-AS1",478,461,486,273,505,548,478,259,398
"EIF3J",1335,1196,1222,1134,1625,1983,2460,1352,1666
"SPG11",1639,1588,1272,919,1350,1513,2132,1010,1507
"B2M",26727,24979,22185,20447,28932,31175,39916,20274,24870
"TRIM69",57,46,37,39,47,39,68,31,47
"SORD",83,101,52,34,77,70,114,77,88
"LOC101928414",24,34,24,21,49,31,22,7,32
"SLC28A2",23,33,22,11,23,33,27,6,13
"GATM",166,197,180,140,211,170,229,118,174
"SPATA5L1",160,155,170,113,235,282,269,148,161
"SLC30A4",39,36,35,20,47,41,100,35,53
"BLOC1S6",2358,2292,2004,1821,2601,3409,3473,1611,2361
"SQRDL",49,55,38,33,52,46,100,36,37
"SEMA6D",761,692,583,263,369,378,532,315,435
"SLC24A5",506,408,351,317,388,629,623,189,583
"MYEF2",4311,4162,3754,3539,3800,6121,6361,2672,4775
"SLC12A1",51,31,29,16,32,27,60,55,49
"DUT",200,174,190,121,227,229,237,152,156
"FBN1",9417,8848,7616,5566,7253,9116,9980,6396,7607
"CEP152",1445,1407,955,840,829,1057,1514,506,1412
"SHC4",108,120,93,69,114,174,269,114,137
"EID1",1735,1534,1405,1276,1745,2150,2734,1460,1779
"SECISBP2L",854,944,782,706,919,1257,1186,497,758
"COPS2",6046,5794,5231,5058,7731,10146,8514,3855,6179
"GALK2",1558,1459,1428,952,1470,1772,1812,943,1344
"NDUFAF4P1",129,88,115,86,123,76,125,47,73
"FAM227B",409,327,333,171,309,437,381,222,356
"FGF7",130,100,87,82,64,73,157,49,115
"DTWD1",2416,2393,2238,1843,2600,2908,3632,1925,2975
"ATP8B4",24,26,24,25,32,65,49,48,17
"SLC27A2",170,162,154,118,164,176,167,140,156
"HDC",239,112,157,29,49,49,52,59,52
"GABPB1",475,326,297,355,469,495,714,368,423
"FLJ10038",114,124,92,58,99,88,100,64,71
"GABPB1-AS1",263,257,187,179,229,219,202,153,187
"USP8",5569,4781,4485,3780,4692,6532,6905,3224,5438
"TRPM7",4495,4194,3768,2413,3120,4352,3669,1472,3116
"SPPL2A",207,176,177,109,110,150,194,100,93
"AP4E1",439,399,334,347,396,498,737,314,523
"DCAF13P3",109,72,74,49,123,117,148,52,83
"DMXL2",5304,5016,4392,2896,2491,3543,3716,1363,3354
"SCG3",443,359,349,229,484,611,847,419,417
"TMOD2",756,705,619,465,1019,1418,1315,821,659
"TMOD3",1416,1434,1248,1542,1950,2373,3002,1705,1990
"LEO1",2381,1992,1778,1711,2312,3069,3775,1745,2430
"MAPK6",3502,3245,2729,2523,4050,4807,4961,2482,3693
"GNB5",307,302,243,129,243,305,328,191,240
"MYO5C",554,616,452,490,587,786,728,463,574
"MYO5A",1816,1620,1623,1254,1715,2274,2449,1281,1840
"ARPP19",10538,10437,9754,8011,12935,14101,14528,7499,10367
"FAM214A",2119,2208,1728,1965,2283,2974,2652,1238,2082
"UNC13C",119,107,75,39,76,33,43,40,98
"RSL24D1",5765,5976,5770,4426,7939,8318,7652,3910,5594
"RAB27A",446,545,438,360,455,559,547,339,547
"LOC101928527",318,313,275,166,221,286,395,252,285
"PIGB",352,292,320,245,295,270,485,279,411
"CCPG1",831,928,625,616,929,1255,1096,456,945
"C15orf65",312,289,233,155,172,221,343,150,220
"DYX1C1",190,117,147,161,150,150,239,126,189
"PYGO1",5535,5362,4488,5620,5759,8760,8772,3447,6471
"PRTG",7273,8020,6894,4949,6436,8777,6997,2835,6429
"NEDD4",429,417,362,882,902,1697,2372,974,1148
"RFX7",1221,1247,1217,1091,1495,1914,1855,958,1444
"TEX9",3779,2894,2962,2571,2488,3913,4292,1967,3347
"MNS1",1514,1121,900,1159,969,1797,1418,561,1143
"ZNF280D",1674,1500,1232,969,1046,1678,1521,561,1281
"TCF12",1933,1853,1579,1301,1832,2255,3216,1632,1945
"CGNL1",1795,2219,1467,1231,2231,2417,2213,1174,1936
"ADAM10",4455,3842,3302,2522,3380,4103,5237,2428,3762
"HSP90AB4P",38,39,27,29,32,56,49,13,38
"FAM63B",2251,2146,1934,2345,2774,3614,2653,1040,2238
"SLTM",2018,1533,1287,1342,1577,2190,2711,1213,1795
"RNF111",1496,1457,1231,1279,1598,2115,2151,1135,1511
"CCNB2",299,222,208,231,226,426,401,262,367
"MYO1E",138,159,115,195,309,338,322,172,259
"FAM81A",82,84,70,44,68,34,103,27,51
"GTF2A2",1940,1734,1581,1204,1927,2061,2940,1804,2011
"BNIP2",2232,2108,1900,1631,2364,2973,2967,1294,2270
"ANXA2",342,776,514,1432,2006,2660,4889,2491,2108
"NARG2",3410,2716,2308,2258,2476,3394,6710,2650,3785
"RORA",5279,6006,4597,3415,3878,4842,3688,1100,3113
"RP11-219B17.1",161,230,183,138,138,153,133,54,121
"LOC102724802",58,63,52,32,41,59,39,8,30
"VPS13C",4498,4219,3141,3309,3563,6203,6277,2157,5127
"C2CD4A",13,0,6,58,44,75,91,58,33
"TLN2",307,277,307,207,314,361,432,252,283
"TPM1",1455,1792,1169,2979,3856,5689,8380,3881,3790
"LACTB",368,364,265,297,592,623,617,337,477
"RPS27L",10802,10168,9736,9379,13194,13978,15848,9810,12342
"RAB8B",15806,15421,15209,14404,19435,22769,15133,8045,13921
"APH1B",768,825,695,390,612,581,633,403,661
"CA12",1631,1699,1579,1987,2907,3357,5246,3032,3422
"USP3",2565,2953,2407,2085,3682,4622,3159,1548,2577
"USP3-AS1",104,117,117,106,142,342,188,49,103
"HERC1",2734,2707,2171,1185,2009,2428,2718,1504,2051
"FAM96A",1095,886,672,424,630,821,990,544,725
"SNX1",404,431,373,226,425,495,483,356,446
"PPIB",1523,1630,1156,754,1499,1582,2503,1589,1853
"CSNK1G1",1422,1356,1144,938,1382,1802,2067,1121,1495
"KIAA0101",242,124,117,196,181,248,373,311,157
"TRIP4",571,512,457,295,597,784,886,552,694
"ZNF609",245,294,189,139,248,271,269,155,197
"OAZ2",359,326,194,85,209,210,374,288,336
"RBPMS2",33,13,21,7,13,14,35,26,24
"ANKDD1A",134,106,64,46,134,158,126,56,88
"SPG21",719,761,683,440,707,827,931,562,591
"MTFMT",79,76,56,50,93,92,93,56,78
"PDCD7",1088,1077,997,682,885,1352,1211,773,1060
"CLPX",473,562,406,370,627,627,671,325,501
"PARP16",78,133,130,69,124,149,136,42,78
"IGDCC3",63,66,53,18,18,11,39,22,23
"IGDCC4",872,735,757,597,846,1062,1212,716,886
"DPP8",4001,3292,3502,2850,3428,4236,5392,2937,3948
"PTPLAD1",11787,9750,8517,6163,7203,8462,11547,7251,10602
"VWA9",1083,1051,956,647,1086,1147,1501,857,1102
"SLC24A1",321,243,219,150,156,177,200,126,227
"DENND4A",2953,2611,2504,1641,1660,2240,2168,963,1971
"RAB11A",7460,7273,6470,5077,9012,9901,10952,6098,7823
"MEGF11",170,133,143,107,148,194,225,141,191
"DIS3L",454,392,436,198,311,364,483,353,419
"TIPIN",398,363,359,238,433,396,519,281,415
"MAP2K1",326,456,367,277,632,621,574,277,405
"SNAPC5",356,320,320,180,236,263,386,240,273
"RPL4",25502,28717,26050,18501,33072,33903,38056,20905,27354
"ZWILCH",1371,1101,1069,1105,1590,1863,3025,1532,1932
"LCTL",94,70,48,111,95,189,272,149,121
"SMAD3",1784,1859,1676,1154,1878,1866,1836,1055,1482
"AAGAB",5343,5522,4700,4371,6474,7228,8763,5438,6693
"IQCH",756,665,651,559,650,950,861,493,892
"IQCH-AS1",354,358,333,178,171,244,278,173,212
"C15orf61",38,58,45,22,21,27,37,16,18
"MAP2K5",280,224,221,124,135,145,141,93,134
"PIAS1",7023,6879,6360,4830,7660,9956,8674,4652,6319
"CALML4",542,405,429,241,318,374,401,192,262
"FEM1B",2487,2386,2240,1735,2770,3640,3620,1654,2084
"CORO2B",193,159,118,92,104,152,372,193,230
"ANP32A",263,331,272,187,331,454,426,338,405
"ANP32A-IT1",32,49,22,27,54,73,53,36,30
"GLCE",1984,1691,1571,1400,2032,2532,2538,1371,1657
"PAQR5",546,430,427,256,249,335,354,218,358
"KIF23",2298,1651,1743,999,1480,1634,1831,1302,1812
"RPLP1",18363,18546,13616,8668,15358,15073,18801,10642,14653
"RP11-279F6.1",113,100,105,32,57,40,91,51,63
"TLE3",119,132,83,83,105,87,148,100,123
"UACA",4086,2788,2331,4011,2882,6546,6535,2104,4171
"LARP6",43,65,36,23,57,78,74,46,76
"LRRC49",1892,1569,1385,1139,1302,1820,2168,1290,1788
"THAP10",47,34,36,20,55,41,73,32,42
"THSD4",23,29,20,17,13,49,59,40,18
"MYO9A",2424,2353,2112,1732,2388,3297,3247,1322,2453
"SENP8",424,294,334,269,428,439,515,265,408
"GRAMD2",68,71,53,37,67,75,57,34,47
"PKM",21242,22996,14332,10506,17472,20724,29125,18671,26010
"PARP6",691,683,605,449,775,794,971,598,761
"CELF6",48,43,41,24,34,41,66,35,32
"HEXA",1844,1608,1096,732,1222,1255,1834,904,1393
"ARIH1",2708,2657,2550,1816,2656,3000,2478,1761,2316
"MIR630",21,14,37,15,31,18,33,16,27
"BBS4",11001,9609,9803,8150,10781,12392,13234,7857,11255
"ADPGK",1204,1230,1044,824,1313,1306,1325,753,1223
"NEO1",624,595,528,354,646,713,792,536,609
"NPTN",812,863,725,634,929,1159,1298,855,901
"CD276",182,203,145,122,225,221,303,203,227
"LOXL1-AS1",306,335,216,378,445,508,716,370,475
"LOXL1",88,90,57,87,85,199,280,141,132
"PML",32,54,54,25,40,38,81,44,54
"STRA6",136,144,85,46,59,79,99,35,57
"LOC102723673",34,20,26,5,8,8,12,19,33
"CCDC33",81,80,59,33,24,34,41,37,45
"UBL7",94,114,70,37,84,90,124,73,104
"UBL7-AS1",96,88,82,60,92,84,94,56,61
"CLK3",72,102,39,27,88,93,116,72,73
"EDC3",311,357,283,228,457,494,442,278,284
"ULK3",24,28,19,11,30,25,27,26,20
"SCAMP2",230,213,140,97,189,153,315,229,258
"MPI",778,816,588,354,697,804,945,618,885
"FAM219B",654,754,566,393,596,689,754,441,564
"COX5A",182,168,171,84,186,192,206,118,175
"SCAMP5",196,181,168,95,182,196,254,124,150
"PPCDC",95,58,60,21,68,85,122,56,73
"COMMD4",60,46,51,50,52,107,111,81,78
"MAN2C1",24,45,45,19,31,53,33,36,48
"SIN3A",1430,1397,1264,744,1568,1699,1551,1031,1462
"PTPN9",380,312,359,223,467,391,525,355,400
"SNUPN",890,908,866,537,954,1021,897,583,907
"IMP3",95,133,60,48,83,105,131,77,109
"UBE2Q2",838,850,853,552,928,1143,974,456,664
"FBXO22",547,442,364,318,436,602,733,304,527
"NRG4",99,91,93,49,42,93,107,31,75
"ETFA",1664,1456,1296,854,1201,1287,1803,1110,1344
"SCAPER",2833,2593,2388,1645,2456,2733,2653,995,2020
"RCN2",1089,1069,942,787,1193,1404,1385,786,1048
"TSPAN3",2441,2383,1940,1326,1948,2129,2472,1564,2011
"PEAK1",1354,1258,1132,901,1212,1488,1763,898,1206
"LINC00597",140,72,88,112,89,153,190,53,106
"HMG20A",5679,5238,5121,3409,5666,6550,7226,4279,5570
"LINGO1",74,82,54,16,22,32,50,36,36
"TBC1D2B",20,56,35,22,74,61,44,10,47
"IDH3A",7036,5580,5393,3929,5448,6633,9233,5328,7213
"WDR61",3781,4107,3599,3795,5040,6200,7797,5070,5658
"CRABP1",72,101,44,34,72,87,143,60,69
"IREB2",4849,5115,4531,4023,5272,6295,5969,3139,5015
"PSMA4",7024,6364,5964,5400,7140,8563,11669,6476,7555
"CHRNA5",63,65,35,45,42,78,79,61,57
"MORF4L1",23373,22841,20942,16172,26919,29400,32478,19172,23163
"CTSH",50,65,39,34,57,77,125,55,80
"TMED3",151,169,112,68,131,113,191,143,149
"KIAA1024",88,89,42,200,144,269,393,248,182
"ST20",40,29,13,30,32,51,39,21,37
"ZFAND6",3524,2947,2714,2294,3414,4202,4623,2523,3043
"FAH",137,137,114,139,260,209,380,211,266
"ARNT2",503,442,405,353,607,526,795,577,696
"ABHD17C",131,77,69,71,122,134,149,109,75
"KIAA1199",130,125,116,61,86,102,110,79,88
"MESDC2",1444,1240,877,594,836,1052,1617,957,1125
"MESDC1",50,43,48,32,37,44,82,33,45
"C15orf26",950,794,757,673,676,1106,840,700,924
"IL16",73,59,53,26,71,65,26,20,37
"MEX3B",26,35,30,30,47,77,78,53,40
"EFTUD1",745,645,629,447,768,705,1051,731,851
"LOC101929714",75,30,45,34,26,76,71,38,60
"FAM154B",400,242,281,159,145,293,297,151,295
"GOLGA6L10",65,65,70,50,29,65,58,30,44
"UBE2Q2P3",32,33,32,12,9,19,21,8,11
"UBE2Q2P2",33,34,12,20,26,34,36,19,21
"GOLGA6L9",961,831,786,509,521,815,772,270,561
"RPS17",7981,9441,7736,5242,10239,9797,10777,6580,8312
"CPEB1",232,254,195,112,178,239,254,139,207
"AP3B2",85,93,90,38,104,103,113,58,94
"LOC283693",46,54,34,31,42,71,45,21,61
"RP11-752G15.6",493,457,400,247,485,576,383,275,374
"FSD2",283,307,262,315,390,492,259,164,279
"WHAMM",517,718,475,289,431,526,496,335,442
"HOMER2",1597,1391,1205,1083,1268,1399,2058,909,1369
"FAM103A1",326,312,231,230,349,392,475,296,311
"C15orf40",716,702,625,456,568,721,830,477,615
"BTBD1",659,584,637,520,863,1054,1152,578,789
"TM6SF1",785,744,841,712,814,1156,1504,713,947
"HDGFRP3",685,663,655,540,800,1077,1128,626,740
"SH3GL3",82,86,80,70,74,107,104,23,42
"ADAMTSL3",485,495,433,269,370,253,297,169,319
"UBE2Q2P1",57,55,26,39,66,49,68,24,33
"ZSCAN2",48,45,47,30,57,83,95,48,72
"SCAND2P",173,98,102,108,156,184,187,147,181
"WDR73",249,240,177,119,254,256,353,228,279
"NMB",38,43,40,26,40,37,31,22,41
"SEC11A",2841,2924,2747,2185,3407,3467,4135,2484,3008
"ZNF592",195,168,155,118,182,159,246,123,140
"PDE8A",796,751,677,331,490,536,565,263,460
"AKAP13",1882,1719,1375,810,1210,1521,2032,1104,1400
"LOC101929724",38,20,11,25,27,43,51,46,62
"NTRK3",40,51,28,33,85,92,129,62,71
"MRPL46",441,456,333,216,386,392,558,344,386
"MRPS11",261,235,143,104,168,247,311,218,301
"DET1",429,473,399,224,401,501,437,256,345
"AEN",141,100,87,81,130,132,260,134,195
"MFGE8",100,121,89,111,170,189,303,152,183
"LOC102724554",21,22,16,26,33,40,35,33,30
"ABHD2",1395,1216,1033,1028,1449,1687,2207,1255,1595
"FANCI",779,686,633,441,554,740,1395,711,854
"POLG",79,92,45,53,58,90,123,65,77
"TICRR",59,31,35,25,32,30,55,26,19
"PEX11A",839,708,612,390,495,636,480,288,503
"WDR93",619,517,472,272,331,437,403,230,413
"AP3S2",40,58,36,24,47,59,67,48,49
"C15orf38",112,81,76,48,102,116,126,63,136
"IDH2",58,50,52,23,42,56,75,33,55
"SEMA4B",64,65,53,15,67,68,86,66,82
"CIB1",124,160,103,94,167,177,136,76,125
"NGRN",722,669,590,429,788,855,857,563,674
"IQGAP1",5202,5412,4024,4030,6003,7276,10346,4970,6365
"CRTC3",80,71,54,26,82,71,82,68,59
"BLM",173,153,141,203,200,307,521,230,324
"FURIN",23,14,10,21,12,14,54,36,30
"MAN2A2",304,291,228,131,279,360,307,220,270
"UNC45A",95,96,67,47,98,98,135,78,123
"HDDC3",37,38,26,19,38,31,31,28,40
"RCCD1",67,72,65,28,45,71,89,49,47
"PRC1",300,344,290,120,271,292,498,262,293
"VPS33B",202,228,159,106,169,213,287,172,180
"SLCO3A1",754,599,553,380,440,515,561,351,528
"ST8SIA2",74,26,53,18,56,68,78,72,43
"LOC100507217",315,290,267,250,390,438,389,247,333
"CHD2",7888,8963,8162,5797,10387,12038,11456,6410,9374
"LOC101927192",282,312,254,208,263,279,206,60,174
"NR2F2-AS1",710,903,776,364,723,732,614,226,474
"NR2F2",1533,1537,1299,881,1444,1678,1651,1067,1228
"LOC101927263",83,89,73,51,52,64,83,31,75
"ARRDC4",1894,1618,1680,1427,1832,2383,3080,1605,2120
"IGF1R",1458,1877,1461,1404,1844,2457,2336,1237,1481
"SYNM",139,161,116,84,151,141,267,145,196
"TTC23",147,151,107,65,121,152,199,118,120
"LRRC28",494,503,385,277,377,417,440,296,375
"HSP90B2P",53,40,38,39,54,74,76,21,58
"MEF2A",1030,879,781,635,914,978,1050,505,793
"LYSMD4",33,19,14,14,15,31,20,20,15
"ADAMTS17",90,55,35,11,15,15,38,10,32
"PRKXP1",92,60,40,32,42,69,46,22,46
"LINS",1379,1127,1111,865,1225,1467,1490,804,1210
"ASB7",354,258,333,262,338,459,408,261,266
"CHSY1",1626,1415,1205,1058,1555,1886,2153,1327,1562
"VIMP",758,647,539,325,604,744,946,625,739
"SNRPA1",702,749,671,428,870,976,874,555,805
"PCSK6",206,176,176,113,291,194,312,158,342
"TM2D3",2362,2585,2137,1549,3090,3288,2632,1573,2012
"TARSL2",526,564,521,352,522,732,632,278,497
"FAM138E",33,48,39,6,7,7,10,6,7
"POLR3K",660,591,449,377,633,573,854,534,570
"SNRNP25",147,171,135,81,124,197,245,132,175
"RHBDF1",59,59,28,32,62,82,81,55,55
"NPRL3",43,34,35,17,43,39,47,23,44
"LUC7L",208,271,173,118,194,220,178,139,208
"ITFG3",135,157,74,41,80,75,163,106,147
"AXIN1",28,27,9,18,25,32,22,18,25
"TMEM8A",53,61,35,28,40,43,56,38,64
"NME4",64,88,53,26,74,48,83,70,62
"RAB11FIP3",39,37,29,19,24,32,50,19,25
"C16orf13",24,31,24,8,11,22,33,17,14
"WDR90",28,39,25,15,19,24,32,18,23
"FBXL16",19,30,28,25,26,39,24,20,10
"UBE2I",201,237,195,178,226,354,326,280,279
"LOC102724592",38,34,28,20,35,25,51,42,26
"GNPTG",30,29,17,3,18,13,40,14,26
"IFT140",89,56,44,21,32,47,51,32,67
"CRAMP1L",92,92,55,40,65,61,127,63,87
"HN1L",638,570,527,433,600,750,1159,621,716
"HAGH",42,41,22,13,13,25,43,31,19
"FAHD1",203,189,191,132,154,254,324,228,214
"MSRB1",88,37,33,42,38,45,105,52,64
"NDUFB10",273,242,166,91,185,210,244,163,172
"RPS2",2055,2268,1568,934,1813,1778,2386,1387,1754
"SNHG9",137,92,80,77,74,132,155,108,96
"SYNGR3",49,40,36,18,37,41,46,23,39
"ZNF598",24,18,16,11,28,16,29,13,28
"TSC2",58,60,24,16,42,53,56,34,32
"SNHG19",30,48,30,19,44,22,35,24,18
"TRAF7",38,29,24,19,26,29,64,22,28
"MLST8",29,33,11,0,10,11,29,18,29
"ECI1",48,36,32,23,35,21,37,28,40
"RNPS1",388,443,316,258,511,519,638,369,474
"ABCA3",39,52,29,39,55,37,47,41,40
"CCNF",32,22,20,29,33,34,30,23,46
"TBC1D24",259,183,149,118,233,284,366,147,144
"ATP6V0C",118,153,104,77,109,147,169,95,90
"PDPK1",369,321,246,227,347,450,353,252,330
"ERVK13-1",271,242,199,148,226,280,341,201,212
"KCTD5",42,35,23,26,26,38,68,22,37
"SRRM2",782,982,696,379,830,806,951,503,697
